approximate_timing,maxVal,std,skewness,kurtosis_,max_deviation,centroids_ptp,centroids_mean,centroids_std,centroids_kurt,centroids_skew,sp_bandwidth_ptp,sp_bandwidth_mean,sp_bandwidth_std,sp_bandwidth_skew,fft_1,rms,p_t_p,crest_f,prediction
2:34.6 - 2:36.0,6093.0,1138.4,-0.0,1.9,6605.5,2452.0,6211.4,285.4,14.9,2.9,628.2,8880.6,113.5,-0.3,-0.0,30.1,12655.0,202.2,0.0003394105
2:36.0 - 2:37.5,5362.0,838.5,0.0,1.8,5763.2,1277.3,6422.6,203.3,0.1,0.2,536.4,8890.4,89.0,-0.3,0.0,35.2,11085.0,152.2,0.0011122295
2:37.5 - 2:39.0,3424.0,534.1,-0.1,1.7,3841.7,1521.4,6766.0,264.2,-0.0,-0.0,501.1,8784.7,90.6,-0.1,0.0,41.8,7223.0,81.9,0.003670845
2:39.0 - 2:40.5,4045.0,571.4,-0.1,2.2,4002.5,1323.1,6759.4,278.5,-0.5,0.0,517.4,8820.8,99.3,-0.1,0.0,42.0,7780.0,96.3,0.003670845
2:40.5 - 2:42.0,5113.0,754.0,0.0,2.8,5071.7,1481.2,6551.3,331.1,-0.7,0.5,597.2,8870.0,128.6,-0.4,-0.0,40.1,9389.0,127.4,0.00084858877
2:42.0 - 2:43.5,4745.0,921.2,-0.0,1.3,4703.3,1186.5,6354.1,208.2,2.6,1.3,619.7,8950.7,93.4,-0.7,-0.0,33.2,9264.0,143.0,0.0009339605
2:43.5 - 2:45.0,4115.0,669.7,0.2,3.1,4071.4,1436.5,6736.6,362.2,-0.9,0.3,751.5,8844.3,155.8,-0.2,0.0,42.4,7954.0,97.0,0.0022975423
2:45.0 - 2:46.4,4141.0,621.2,0.1,3.2,4098.8,1463.4,6779.8,278.4,-0.4,0.3,662.2,8831.0,141.6,0.1,0.0,43.6,8195.0,94.9,0.0014585714
2:46.4 - 2:47.9,3733.0,484.5,-0.2,3.8,3690.1,1676.8,6923.6,320.8,-0.4,0.1,793.6,8753.3,150.7,-0.1,0.0,48.1,7355.0,77.5,0.008341212
2:47.9 - 2:49.4,3028.0,453.2,-0.0,3.7,3203.6,1587.8,6962.4,313.4,-0.5,0.1,648.0,8723.8,139.2,0.3,0.0,48.7,6189.0,62.1,0.0018524651
2:49.4 - 2:50.9,29941.0,2495.3,0.1,6.1,29901.2,8045.3,12836.9,2063.8,4.2,-2.4,2003.7,9776.7,407.2,-1.3,0.5,26.0,-15162.0,1150.1,0.96538615
2:50.9 - 2:52.4,13184.0,2223.0,0.1,3.1,13148.0,2672.4,13406.6,443.1,0.3,-0.3,1383.8,9977.1,203.1,-0.4,-0.5,24.9,23450.0,529.5,0.06832248
2:52.4 - 2:53.9,13786.0,1813.9,0.3,7.3,13747.2,2764.1,13043.3,480.0,-0.1,0.4,1650.3,9608.4,423.1,0.1,0.5,37.9,26459.0,364.0,0.019273207
